pkt_size; time_ms; connection
100; 1.7762184143066406; tcp
500; 1.522064208984375; tcp
1024; 1.3010501861572266; tcp
102400; 1.6949176788330078; tcp
512000; 1.979827880859375; tcp
1048576; 1.5709400177001953; tcp
